Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Stephen Curry,32,GSW,PG,63,63,34.2,10.4,21.7,.482,5.3,12.7,.421,5.1,9.0,.569,.605,5.7,6.3,.916,0.5,5.0,5.5,5.8,1.2,0.1,3.4,1.9,32.0,MVP-3ASNBA1,curryst01
2,Bradley Beal,27,WAS,SG,60,60,35.8,11.2,23.0,.485,2.2,6.2,.349,9.0,16.8,.535,.532,6.8,7.7,.889,1.2,3.5,4.7,4.4,1.2,0.4,3.1,2.3,31.3,ASNBA3,bealbr01
3,Damian Lillard,30,POR,PG,67,67,35.8,9.0,19.9,.451,4.1,10.5,.391,4.9,9.4,.519,.554,6.7,7.2,.928,0.5,3.7,4.2,7.5,0.9,0.3,3.0,1.5,28.8,MVP-7ASNBA2,lillada01
4,Joel Embiid,26,PHI,C,51,51,31.1,9.0,17.6,.513,1.1,3.0,.377,7.9,14.6,.541,.545,9.2,10.7,.859,2.2,8.4,10.6,2.8,1.0,1.4,3.1,2.4,28.5,MVP-2DPOY-7ASNBA2DEF2,embiijo01
5,Giannis Antetokounmpo,26,MIL,PF,61,61,33.0,10.3,18.0,.569,1.1,3.6,.303,9.2,14.4,.636,.600,6.5,9.5,.685,1.6,9.4,11.0,5.9,1.2,1.2,3.4,2.8,28.1,MVP-4DPOY-5ASNBA1DEF1,antetgi01
6,Luka Dončić,21,DAL,PG,66,66,34.3,9.8,20.5,.479,2.9,8.3,.350,6.9,12.2,.567,.550,5.2,7.1,.730,0.8,7.2,8.0,8.6,1.0,0.5,4.3,2.3,27.7,MVP-6ASNBA1,doncilu01
7,Zach LaVine,25,CHI,SG,58,58,35.1,9.8,19.4,.507,3.4,8.2,.419,6.4,11.1,.571,.596,4.4,5.1,.849,0.6,4.4,5.0,4.9,0.8,0.5,3.5,2.4,27.4,AS,lavinza01
8,Zion Williamson,20,NOP,PF,61,61,33.2,10.4,17.0,.611,0.2,0.6,.294,10.2,16.4,.622,.616,6.0,8.7,.698,2.7,4.5,7.2,3.7,0.9,0.6,2.7,2.2,27.0,AS,willizi01
9,Kevin Durant,32,BRK,PF,35,32,33.1,9.3,17.2,.537,2.4,5.4,.450,6.8,11.8,.577,.608,6.0,6.8,.882,0.4,6.7,7.1,5.6,0.7,1.3,3.4,2.0,26.9,AS,duranke01
10,Kyrie Irving,28,BRK,PG,54,54,34.9,10.2,20.1,.506,2.8,7.0,.402,7.4,13.1,.561,.576,3.7,4.0,.922,1.0,3.8,4.8,6.0,1.4,0.7,2.4,2.6,26.9,ASNBA3,irvinky01
11,Nikola Jokić,25,DEN,C,72,72,34.6,10.2,18.0,.566,1.3,3.3,.388,8.9,14.7,.606,.602,4.8,5.5,.868,2.8,8.0,10.8,8.3,1.3,0.7,3.1,2.7,26.4,MVP-1ASNBA1,jokicni01
12,Donovan Mitchell,24,UTA,PG,53,53,33.4,9.0,20.6,.438,3.4,8.7,.386,5.7,11.9,.476,.520,5.0,6.0,.845,0.9,3.5,4.4,5.2,1.0,0.3,2.8,2.2,26.4,AS,mitchdo01
13,Jayson Tatum,22,BOS,SF,64,64,35.8,9.5,20.6,.459,2.9,7.6,.386,6.5,13.0,.502,.530,4.6,5.3,.868,0.8,6.6,7.4,4.3,1.2,0.5,2.7,1.9,26.4,AS,tatumja01
14,Devin Booker,24,PHO,SG,67,67,33.9,9.3,19.2,.484,1.9,5.5,.340,7.4,13.7,.543,.533,5.1,5.9,.867,0.5,3.7,4.2,4.3,0.8,0.2,3.1,2.7,25.6,AS,bookede01
15,Trae Young,22,ATL,PG,63,63,33.7,7.7,17.7,.438,2.2,6.3,.343,5.6,11.3,.491,.499,7.7,8.7,.886,0.6,3.3,3.9,9.4,0.8,0.2,4.1,1.8,25.3,,youngtr01
16,De'Aaron Fox,23,SAC,PG,58,58,35.1,9.1,19.1,.477,1.8,5.5,.322,7.3,13.6,.539,.523,5.2,7.2,.719,0.6,2.9,3.5,7.2,1.5,0.5,3.0,2.9,25.2,,foxde01
17,LeBron James,36,LAL,PG,45,45,33.4,9.4,18.3,.513,2.3,6.3,.365,7.1,12.0,.591,.576,4.0,5.7,.698,0.6,7.0,7.7,7.8,1.1,0.6,3.7,1.6,25.0,MVP-13ASNBA2,jamesle01
18,Kawhi Leonard,29,LAC,SF,52,52,34.1,8.9,17.5,.512,1.9,4.9,.398,7.0,12.6,.557,.568,5.0,5.7,.885,1.1,5.4,6.5,5.2,1.6,0.4,2.0,1.6,24.8,MVP-13ASNBA1DEF2,leonaka01
19,Karl-Anthony Towns,25,MIN,C,50,50,33.8,8.5,17.5,.486,2.4,6.3,.387,6.1,11.2,.541,.555,5.3,6.2,.859,2.7,7.9,10.6,4.5,0.8,1.1,3.2,3.7,24.8,,townska01
20,Jaylen Brown,24,BOS,SG,58,58,34.5,9.3,19.2,.484,2.8,7.1,.397,6.5,12.1,.536,.558,3.3,4.3,.764,1.2,4.8,6.0,3.4,1.2,0.6,2.7,2.9,24.7,AS,brownja02
21,James Harden,31,2TM,PG,44,43,36.6,7.8,16.7,.466,2.8,7.6,.362,5.0,9.1,.553,.548,6.3,7.3,.861,0.8,7.1,7.9,10.8,1.2,0.8,4.0,2.3,24.6,MVP-13AS,hardeja01
21,James Harden,31,HOU,PG,8,8,36.3,7.5,16.9,.444,3.1,9.0,.347,4.4,7.9,.556,.537,6.6,7.5,.883,0.6,4.5,5.1,10.4,0.9,0.8,4.3,1.8,24.8,,hardeja01
21,James Harden,31,BRK,PG,36,35,36.6,7.8,16.6,.471,2.7,7.3,.366,5.2,9.4,.552,.551,6.3,7.3,.856,0.8,7.7,8.5,10.9,1.3,0.8,4.0,2.4,24.6,,hardeja01
22,Collin Sexton,22,CLE,SG,60,60,35.3,8.8,18.4,.475,1.6,4.4,.371,7.1,14.0,.508,.519,5.2,6.4,.815,1.0,2.2,3.1,4.4,1.0,0.2,2.8,2.6,24.3,,sextoco01
23,Julius Randle,26,NYK,PF,71,71,37.6,8.5,18.6,.456,2.3,5.5,.411,6.2,13.1,.474,.516,4.9,6.0,.811,1.2,9.0,10.2,6.0,0.9,0.3,3.4,3.2,24.1,MVP-8MIP-1ASNBA2,randlju01
24,Brandon Ingram,23,NOP,SF,61,61,34.3,8.4,18.0,.466,2.3,6.1,.381,6.1,11.9,.510,.531,4.6,5.2,.878,0.6,4.3,4.9,4.9,0.7,0.6,2.5,2.0,23.8,,ingrabr01
25,Shai Gilgeous-Alexander,22,OKC,SG,35,35,33.7,8.2,16.1,.508,2.0,4.9,.418,6.2,11.3,.547,.571,5.3,6.5,.808,0.5,4.2,4.7,5.9,0.8,0.7,3.0,2.0,23.7,,gilgesh01
